year,mean_sentiment,comic_count
1989,-0.5135707403604801,260
1990,-0.46105674047992656,365
1991,-0.5370767338635171,365
1992,-0.39953557536250256,366
1993,-0.4364861491608293,365
1994,-0.5156806730244258,365
1995,-0.5329577530900093,365
1996,-0.5114832841307739,366
1997,-0.5234978891398808,365
1998,-0.5298857488044321,365
1999,-0.5264834377863635,365
2000,-0.5320564681063584,366
2001,-0.5258641081313564,365
2002,-0.5879622263451145,365
2003,-0.5410301486106768,365
2004,-0.6018122032366163,366
2005,-0.5333583787696002,365
2006,-0.5602476675216466,365
2007,-0.6194138495889429,365
2008,-0.6678348986503205,366
2009,-0.6718587672873719,365
2010,-0.6150680277445545,365
2011,-0.6000684520969652,365
2012,-0.5505509503552171,366
2013,-0.5601771771091304,365
2014,-0.5394809700038335,365
2015,-0.5650089211659889,365
2016,-0.6373146746327968,366
2017,-0.6671304867692189,365
2018,-0.6564339004150809,365
2019,-0.7111166413516214,365
2020,-0.6441856051077608,366
2021,-0.6554830288233823,365
2022,-0.6069059259270968,365
2023,-0.6521113397369922,71
